state,locale,vegetation,lat,lon,elev,pct-silt-5,pct-silt-10,pct-silt-20,pct-silt-50,pct-silt-100,pct-clay-5,pct-clay-10,pct-clay-20,pct-clay-50,pct-clay-100,pct-sand-5,pct-sand-10,pct-sand-20,pct-sand-50,pct-sand-100,pct-clay-all,pct-clay-all-unc,pct-silt-all,pct-silt-all-unc,pct-sand-all,pct-sand-all-unc,soil-class,swp-wiltp-5,swp-wiltp-5-unc,swp-wiltp-10,swp-wiltp-10-unc,swp-wiltp-20,swp-wiltp-20-unc,swp-wiltp-50,swp-wiltp-50-unc,swp-wiltp-100,swp-wiltp-100-unc,swp-fcap-5,swp-fcap-5-unc,swp-fcap-10,swp-fcap-10-unc,swp-fcap-20,swp-fcap-20-unc,swp-fcap-50,swp-fcap-50-unc,swp-fcap-100,swp-fcap-100-unc
KS,Manhattan 6 SSW,dense prairie grass,39.1,-96.6,347,63.8,61.3,49.2,46.2,48.7,28.7,30.7,46.3,49.2,44,7.5,8,4.5,4.6,7.3,39.8,9.4,53.8,8.1,6.4,1.7,SiCL,13.2,0.4,13.6,0.6,20.0,1.3,22.1,3.4,17.9,0.7,28.8,0.8,29.0,0.5,35.7,1.8,39.7,3.1,37.4,1.3
KS,Oakley 19 SSW,dense prairie grass,38.87,-100.96,875,64.8,60.8,59.1,61,58.7,23.7,27.7,28.2,27.5,30.5,11.5,11.5,12.7,11.5,10.8,27.5,2.4,60.9,2.4,11.6,0.7,SiL,12.3,1.1,13.1,0.3,13.4,0.6,14.1,0.9,15.2,0.4,25.2,1.1,25.7,0.6,28.7,1.2,29.7,2.4,31.3,4.1
KY,Bowling Green 21 NNE,dense grass,37.25,-86.23,241,60.1,59.8,66,61,58,16.1,10.5,12.1,29.4,32.5,23.8,29.7,21.9,9.6,9.5,20.1,10.2,61.0,3.0,18.9,9.0,SiL,7.2,2.7,4.9,0.7,5.0,0.7,11.9,3.0,13.3,0.5,25.0,2.2,22.9,1.3,24.0,0.7,29.1,3.1,29.3,0.9
KY,Versailles 3 NNW,dense grass,38.09,-84.74,272,70.8,69.6,69.5,57,57.1,24.8,23.6,25.9,35.5,35.7,4.4,6.8,4.6,7.5,7.2,29.1,6.0,64.8,7.1,6.1,1.5,SiCL,12.4,0.7,11.4,1.3,10.6,0.4,14.5,1.3,14.5,2.3,30.2,2.3,26.1,1.2,25.3,0.7,23.9,1.9,23.6,1.1
LA,Lafayette 13 SE,Grass,30.09,-91.87,11,84.4,84.8,75.4,68.6,72.1,13.9,13.8,23.8,30.7,27.2,1.7,1.4,0.8,0.7,0.7,21.9,7.7,77.1,7.3,1.1,0.5,SiL,7.3,0.8,6.5,0.6,10.1,2.6,13.2,0.1,11.5,0.1,21.0,3.2,21.2,3.1,26.2,4.5,30.7,2.0,32.6,1.8
LA,Monroe 26 N,Grass,32.88,-92.11,27,50.2,51.8,54.1,52.5,46,4.3,5.8,8.6,16.7,24.8,45.5,42.4,37.3,30.8,29.2,12.0,8.6,50.9,3.1,37.0,7.1,SiL,2.6,0.7,2.6,0.7,3.4,0.4,7.7,1.6,10.2,2.4,14.6,1.5,14.4,1.1,17.5,0.5,24.8,2.6,26.2,4.1
MN,Goodridge 12 NNW,Grass,48.3,-95.87,351,37.4,32.5,30.3,31.8,32.3,31.8,32.7,30,26.6,23.3,30.8,34.8,39.7,41.6,44.4,28.9,3.9,32.9,2.7,38.3,5.4,CL,22.8,3.0,17.2,0.8,17.4,2.0,9.6,0.3,9.3,0.1,30.0,2.6,28.3,0.6,27.5,0.4,22.3,0.9,22.3,0.6
MO,Chillicothe 22 ENE,Pasture Grass,39.86,-93.14,254,67,65.1,57.1,54.8,55,29.7,31.4,40.5,44,43.5,3.3,3.5,2.4,1.2,1.5,37.8,6.8,59.8,5.8,2.4,1.0,SiCL,12.8,0.7,12.7,0.6,17.3,1.7,21.7,3.0,23.5,5.8,29.0,1.3,28.4,0.3,34.1,6.1,41.8,3.9,40.4,3.2
MO,Joplin 24 N,grass,37.42,-94.58,290,75.6,78.9,77.9,31.5,57.5,17.6,16.3,15.7,66.5,36.2,6.8,4.8,6.4,2,6.3,30.5,21.9,64.3,20.3,5.3,2.0,SiCL,7.5,0.9,6.6,0.4,5.8,0.4,24.9,1.1,15.0,1.4,22.6,0.4,22.0,0.6,21.6,0.4,39.0,2.0,31.0,0.3
MO,Salem 10 W,Grass,37.63,-91.72,365,40.7,39.1,34.3,29.7,31.2,10.2,11.5,23.1,9.7,10.6,49.1,49.4,42.6,60.6,58.2,13.0,5.7,35.0,4.8,52.0,7.3,L,3.5,0.6,3.9,0.7,8.0,3.7,3.4,0.5,3.3,0.1,13.1,1.9,13.1,1.8,18.3,4.8,11.5,1.3,10.4,0.8
MS,Holly Springs 4 N,Grass,34.82,-89.43,148,74.1,76.4,74.8,75.5,71.1,19.7,16.5,13.8,22.2,22.2,6.2,7.1,11.4,2.3,6.7,18.9,3.7,74.4,2.0,6.7,3.2,SiL,10.7,0.9,9.2,2.5,8.8,2.4,10.3,0.8,9.5,0.6,27.5,3.1,26.2,2.4,27.2,5.2,34.1,0.8,30.1,1.0
MS,Newton 5 ENE,dense grass,32.33,-89.07,114,46,49.4,52.6,26,33.5,5.6,4.7,17.4,34.7,31.5,48.4,45.9,30,39.3,35,18.8,14.0,41.5,11.3,39.7,7.6,L,3.0,0.7,2.3,0.6,6.9,0.5,13.6,0.9,20.1,1.7,12.9,3.3,14.6,3.7,21.9,0.8,28.7,1.7,41.6,3.1
NC,Asheville 13 S,Grass,35.41,-82.55,641,19.4,18,18,12.2,18.2,28.8,29.5,39.4,35.1,30.6,51.8,52.5,42.6,52.7,51.2,32.7,4.5,17.2,2.8,50.2,4.3,SCL,16.2,7.3,12.1,0.5,16.9,3.1,17.1,6.3,15.4,2.3,23.4,2.3,21.1,1.6,28.1,3.3,26.2,10.7,29.4,7.9
NC,Asheville 8 SSW,Grass,35.49,-82.61,656,23.9,20.5,23.6,13.3,14.4,15.1,26.9,17.1,58.6,55.3,61,52.6,59.3,28.1,30.3,34.6,20.9,19.1,5.0,46.3,15.9,SCL,6.9,2.1,10.3,10.5,6.8,3.6,21.8,2.3,21.1,2.6,16.8,3.1,19.4,8.8,16.3,2.5,29.6,3.9,27.2,3.3
NC,Durham 11 W,Grass,35.97,-79.09,171,52.7,53.4,51.1,41,42.7,10.8,14.6,23.6,39.7,38.5,36.5,32,25.3,19.3,18.8,25.4,13.3,48.2,5.9,26.4,7.8,L,5.4,1.6,5.5,3.4,8.8,6.6,18.0,2.6,18.9,6.1,21.1,1.8,21.8,1.3,23.2,3.3,30.7,3.2,34.4,9.3
ND,Jamestown 38 WSW,Grass,46.77,-99.47,585,17,16.1,,,,16.1,13,,,,66.9,70.9,,,,14.6,2.2,16.6,0.6,68.9,2.8,SL,9.0,0.8,8.9,4.3,,,,,,,16.4,2.9,9.0,1.6,,,,,,
ND,Medora 7 E,grass/shrub,46.89,-103.37,845,,45.9,,,,,25,,,,,,,,,25,.1,45.9,.1,29.1,.1,L,10.6,1.1,10.3,0.5,,,,,,,23.2,0.3,23.7,1.0,,,,,,
ND,Northgate 5 ESE,Grass,48.96,-102.17,561,29.7,27.6,24,30.6,26.5,16.6,15.2,15.1,22,19.3,53.7,57.2,60.9,47.4,54.2,17.6,3.0,27.7,2.6,54.7,5.0,SL,9.7,3.3,8.5,2.4,6.7,1.3,8.0,3.7,7.5,3.3,18.9,1.5,17.6,1.0,14.6,2.6,18.3,6.8,17.7,7.4
NE,Harrison 20 SSE,grass/shrub,42.42,-103.73,1343,,20,18.9,16.2,27.9,,6.9,6.1,5.6,6.7,,73.1,75,78.2,65.4,6.3,0.6,20.8,5.0,72.9,5.4,SL,6.6,1.3,6.5,1.3,5.4,0.8,7.2,0.3,6.1,0.5,10.2,2.1,9.5,1.0,9.7,2.0,16.3,1.0,12.5,0.5
NE,Lincoln 11 SW,Grass,40.69,-96.85,418,34.5,31.1,35.7,37.7,29.5,32.3,37,32.5,32.5,51.1,33.2,31.9,31.8,29.8,19.4,37.1,8.1,33.7,3.4,29.2,5.6,CL,14.2,0.7,13.8,1.3,15.5,1.2,13.1,0.4,13.9,0.6,24.4,1.1,25.1,1.8,25.9,0.4,26.4,0.4,28.4,1.3
NE,Lincoln 8 ENE,Grass,40.84,-96.56,362,60.5,59.4,59,57.4,53.2,36.2,37.1,37.7,40,44.5,3.3,3.5,3.3,2.6,2.3,39.1,3.3,57.9,2.9,3.0,0.5,SiCL,10.6,3.0,10.2,2.6,8.6,0.1,8.6,0.3,9.0,,27.8,0.3,28.9,0.8,29.2,1.3,31.1,3.5,35.3,0.9
NE,Whitman 5 ENE,prairie grass,42.06,-101.44,1140,1.9,2.3,2.6,0.9,1,2.4,1.9,1.9,2,1.6,95.7,95.8,95.5,97.1,97.4,2.0,0.3,1.7,0.8,96.3,0.9,S,2.3,0.2,2.2,0.3,1.9,0.6,1.3,0.3,1.1,0.2,2.7,0.3,2.5,0.4,2.5,0.4,2.1,0.2,2.0,0.4
NM,Las Cruces 20 N,sparse grass,32.61,-106.74,1319,16.5,14.9,18.2,18.1,42.5,19.6,18.1,24.8,20.3,4.7,63.9,67,57,61.6,52.8,17.5,7.6,22.0,11.5,60.5,5.6,SL,6.8,3.0,5.9,0.9,7.3,0.8,7.1,1.8,9.1,1.4,12.9,1.6,11.8,0.6,14.5,2.6,11.5,2.9,13.6,2.4
NM,Los Alamos 13 W,prairie grass,35.85,-106.52,2657,38.6,39.7,41,33.9,31.6,26.2,26.3,23.8,16.2,13.8,35.2,34,35.2,49.9,54.6,21.3,5.9,37.0,4.0,41.8,9.7,L,17.8,3.6,16.9,0.8,14.3,2.8,9.2,1.9,8.5,3.0,26.1,4.5,25.8,0.9,24.1,2.5,18.6,2.7,17.2,3.1
NM,Socorro 20 N,sparse shrub,34.35,-106.88,1477,,5,8,4.2,4.4,,4.3,4.7,4.7,4.3,,90.7,87.3,91.1,91.3,4.5,0.2,5.4,1.8,90.1,1.9,S,2.1,0.5,2.4,0.5,2.3,0.3,2.3,0.2,2.4,0.1,4.3,0.1,4.8,0.5,4.0,0.1,4.1,0.3,5.7,0.7
